timestamp,run_id,area,floor,event_id,choice_index,choice_label,choice_effect,choice_gold,gold_before,gold_after,could_afford,chosen
1779975690,"5","1","2","lost_squire","2","Ask Payment","gain_gold","12","65","77","1","1"
1779977211,"6","1","1","ancient_shrine","0","Take Blessing","upgrade_random_card_hurt_party","0","10","10","1","1"
1779984005,"7","1","1","black_card_table","2","Cheat","gain_relic_add_curse","0","20","20","1","1"
1780000158,"8","1","1","black_card_table","1","Ante Memory","transform_random_card","0","10","10","1","1"
1780090435,"9","0","1","ancient_shrine","0","Take Blessing","upgrade_random_card_hurt_party","0","10","10","1","1"
1780090970,"9","1","1","goblet_of_oaths","0","Swear Oath","upgrade_random_card_hurt_party","0","10","10","1","1"
1780091549,"9","0","2","runic_anvil","1","Buy Ingot","pay_gold_gain_relic","30","105","75","1","1"
1780091585,"9","0","2","pilgrims_table","1","Leave Donation","pay_gold_gain_relic","17","100","83","1","1"
1780091707,"9","0","3","hanging_market","0","Rare Charm","pay_gold_gain_relic","35","178","143","1","1"
1780092162,"10","0","1","runic_anvil","0","Temper Steel","upgrade_random_card_hurt_party","0","10","10","1","1"
1780115743,"10","1","1","memory_mirror","0","Study Reflection","upgrade_random_card_hurt_party","0","40","40","1","1"
1780117391,"10","1","1","starlit_orchard","2","Shake Branches","gain_gold_add_curse","35","40","75","1","1"
1780118141,"10","1","1","sealed_cache","0","Pick Seal","gain_gold_add_curse","40","40","80","1","1"
1780118145,"10","1","1","lost_squire","2","Ask Payment","gain_gold","12","80","92","1","1"
1780118368,"10","1","1","cracked_obelisk","0","Channel Sparks","upgrade_random_card_hurt_party","0","40","40","1","1"
1780118444,"11","1","1","sealed_reliquary","1","Buy the Seal","pay_gold_gain_relic","38","40","2","1","1"
1780119493,"12","0","1","mirror_of_duplicates","1","Crack the Glass","transform_random_card","0","40","40","1","1"
1780195778,"12","1","1","memory_mirror","0","Study Reflection","upgrade_random_card_hurt_party","0","40","40","1","1"
1780195788,"12","1","1","pilgrims_table","1","Leave Donation","pay_gold_gain_relic","17","40","23","1","1"
1780196579,"12","1","3","fallen_caravan","1","Pry Open Lockbox","gain_gold_add_curse","45","106","151","1","1"
1780196595,"12","1","3","abandoned_camp","2","Travel Light","remove_card","0","151","151","1","1"
1780197061,"12","1","4","living_library","1","Edit the Margin","transform_random_card","0","317","317","1","1"
1780197071,"12","1","4","strange_merchant","1","Sell Trinkets","gain_gold","20","317","337","1","1"
1780277025,"13","0","1","goblet_of_oaths","1","Take Offering","gain_gold_add_curse","28","40","68","1","1"
1780277169,"13","0","2","echoing_altar","1","Offer Gold","pay_gold_gain_relic","28","108","80","1","1"
1780414243,"13","2","1","memory_mirror","0","Study Reflection","upgrade_random_card_hurt_party","0","40","40","1","1"
1780423149,"13","2","1","echoing_altar","0","Offer Blood","upgrade_random_card_hurt_party","0","40","40","1","1"
1780423785,"13","2","2","fallen_caravan","1","Pry Open Lockbox","gain_gold_add_curse","45","135","180","1","1"
1780424211,"13","2","3","field_surgeon","0","Full Triage","heal_party","0","115","115","1","1"
1780424223,"13","2","3","wisp_of_fading","1","Refuse","none","0","115","115","1","1"
1780424871,"13","2","4","wounded_scout","1","Buy Map","pay_gold_gain_relic","20","235","215","1","1"
1780433770,"13","2","5","runic_anvil","1","Buy Ingot","pay_gold_gain_relic","30","110","80","1","1"
1780433778,"13","2","5","ancient_shrine","1","Donate Gold","pay_gold_gain_relic","20","80","60","1","1"
1780489040,"1","0","1","fallen_caravan","1","Pry Open Lockbox","gain_gold_add_curse","45","10","55","1","1"
1780505051,"1","0","1","war_room_table","2","Draft Tactic","add_card_add_curse","0","10","10","1","1"
1780567516,"1","0","1","quiet_spring","1","Wash Ailments","remove_card","0","10","10","1","1"
1780567771,"1","0","2","mirror_of_duplicates","0","Echo a Card","duplicate_random_card_hurt_party","0","100","100","1","1"
1780568202,"1","0","3","strange_merchant","1","Sell Trinkets","gain_gold","20","200","220","1","1"
1780568212,"1","0","3","fallen_caravan","1","Pry Open Lockbox","gain_gold_add_curse","45","220","265","1","1"
1780573410,"2","1","1","pilgrims_table","0","Take Meal","heal_party","0","10","10","1","1"
1780574525,"2","1","3","fateweaver_loom","0","Pull Gold Thread","gain_gold_hurt_party","50","78","128","1","1"
1780656477,"3","2","2","ashen_waystation","2","Buy Charms","pay_gold_gain_relic","26","85","59","1","1"
1780656490,"3","2","2","wisp_of_fading","0","Take the Gold","curse_fleeting","18","59","77","1","1"
1780678960,"3","2","3","burning_pact","0","Accept the Pact","curse_exhaust","25","102","127","1","1"
