timestamp,run_id,area,floor,source,offered,picked
1779975662,"5","1","2","boss_reward","lantern_oil|scholar_notes|bandage_roll","lantern_oil"
1780090635,"9","0","2","boss_reward","whetstone|frugal_tome|lantern_oil","lantern_oil"
1780091522,"9","0","2","boss_reward","spirit_stone|split_prism|lantern_oil","split_prism"
1780091678,"9","0","3","boss_reward","grave_bell|phoenix_feather|rabbit_foot","rabbit_foot"
1780092386,"10","0","2","boss_reward","warden_crest|battle_drum|mending_bead","warden_crest"
1780119644,"12","0","2","boss_reward","veil_pin|resonant_charm|lucky_coin","resonant_charm"
1780195995,"12","1","2","boss_reward","whetstone|bottled_storm|gilded_charm","gilded_charm"
1780196519,"12","1","3","boss_reward","toxic_vial|scouting_map|field_rations","field_rations"
1780196986,"12","1","4","boss_reward","mirror_shield|golden_idol|prosperity_charm","golden_idol"
1780277144,"13","0","2","boss_reward","bandage_roll|battle_drum|grave_bell","bandage_roll"
1780277303,"13","0","3","boss_reward","executioners_seal|echo_bell|resonant_charm","echo_bell"
1780414495,"13","2","2","boss_reward","titan_heart|veil_pin|lantern_oil","titan_heart"
1780423537,"13","2","2","boss_reward","hunters_compass|phoenix_feather|mending_bead","phoenix_feather"
1780424115,"13","2","3","boss_reward","scholar_notes|blood_amber|hunters_compass","blood_amber"
1780424650,"13","2","4","boss_reward","veil_pin|prosperity_charm|quickdraw_glove","prosperity_charm"
1780433634,"13","2","5","boss_reward","veil_pin|mirror_shield|lantern_oil","lantern_oil"
